     array    random    triple      sums
__________________________________________________________________________

       0       1         3          4
       1       2         6          8
       2       5         15          20
       3       2         6          8
       4       5         15          20
       5       1         3          4
       6       2         6          8
       7       3         9          12
       8       4         12          16
       9       2         6          8
